timestamp_folder,pig_id,pig_timestamp,rgb_jpg,rgb_aligned_jpg,ir_jpg,depth_jpg,label
20260130-02-03-36,0,20260130-02-04-02,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig0_rgb_20260130-02-04-02.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig0_rgb_aligned_20260130-02-04-02.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig0_ir_vis_20260130-02-04-02.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig0_depth_vis_20260130-02-04-02.jpg,1
20260130-02-03-36,2,20260130-02-04-20,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig2_rgb_20260130-02-04-20.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig2_rgb_aligned_20260130-02-04-20.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig2_ir_vis_20260130-02-04-20.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig2_depth_vis_20260130-02-04-20.jpg,1
20260130-02-03-36,3,20260130-02-04-29,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig3_rgb_20260130-02-04-29.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig3_rgb_aligned_20260130-02-04-29.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig3_ir_vis_20260130-02-04-29.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig3_depth_vis_20260130-02-04-29.jpg,1
20260130-02-03-36,4,20260130-02-04-38,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig4_rgb_20260130-02-04-38.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig4_rgb_aligned_20260130-02-04-38.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig4_ir_vis_20260130-02-04-38.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig4_depth_vis_20260130-02-04-38.jpg,1
20260130-02-03-36,6,20260130-02-04-56,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig6_rgb_20260130-02-04-56.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig6_rgb_aligned_20260130-02-04-56.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig6_ir_vis_20260130-02-04-56.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig6_depth_vis_20260130-02-04-56.jpg,1
20260130-02-03-36,7,20260130-02-05-05,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig7_rgb_20260130-02-05-05.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig7_rgb_aligned_20260130-02-05-05.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig7_ir_vis_20260130-02-05-05.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig7_depth_vis_20260130-02-05-05.jpg,1
20260130-02-03-36,8,20260130-02-05-14,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig8_rgb_20260130-02-05-14.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig8_rgb_aligned_20260130-02-05-14.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig8_ir_vis_20260130-02-05-14.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig8_depth_vis_20260130-02-05-14.jpg,1
20260130-02-03-36,9,20260130-02-05-22,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig9_rgb_20260130-02-05-22.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig9_rgb_aligned_20260130-02-05-22.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig9_ir_vis_20260130-02-05-22.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig9_depth_vis_20260130-02-05-22.jpg,1
20260130-02-03-36,10,20260130-02-05-31,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig10_rgb_20260130-02-05-31.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig10_rgb_aligned_20260130-02-05-31.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig10_ir_vis_20260130-02-05-31.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig10_depth_vis_20260130-02-05-31.jpg,1
20260130-02-03-36,11,20260130-02-05-41,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig11_rgb_20260130-02-05-41.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig11_rgb_aligned_20260130-02-05-41.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig11_ir_vis_20260130-02-05-41.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260130-02-03-36/pig11_depth_vis_20260130-02-05-41.jpg,1
