timestamp_folder,pig_id,pig_timestamp,rgb_jpg,ir_jpg,depth_jpg,label
20260123-14-46-37,0,20260123-14-47-04,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_rgb_20260123-14-47-04.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_ir_vis_20260123-14-47-04.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_depth_vis_20260123-14-47-04.jpg,0
20260123-14-46-37,2,20260123-14-47-21,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_rgb_20260123-14-47-21.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_ir_vis_20260123-14-47-21.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_depth_vis_20260123-14-47-21.jpg,0
20260123-14-46-37,3,20260123-14-47-30,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_rgb_20260123-14-47-30.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_ir_vis_20260123-14-47-30.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_depth_vis_20260123-14-47-30.jpg,0
20260123-14-46-37,4,20260123-14-47-48,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_rgb_20260123-14-47-48.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_ir_vis_20260123-14-47-48.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_depth_vis_20260123-14-47-48.jpg,0
20260123-14-46-37,5,20260123-14-47-57,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_rgb_20260123-14-47-57.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_ir_vis_20260123-14-47-57.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_depth_vis_20260123-14-47-57.jpg,0
20260123-14-46-37,6,20260123-14-48-06,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_rgb_20260123-14-48-06.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_ir_vis_20260123-14-48-06.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_depth_vis_20260123-14-48-06.jpg,0
20260123-14-46-37,7,20260123-14-48-15,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_rgb_20260123-14-48-15.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_ir_vis_20260123-14-48-15.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_depth_vis_20260123-14-48-15.jpg,0
20260123-14-46-37,8,20260123-14-48-24,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_rgb_20260123-14-48-24.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_ir_vis_20260123-14-48-24.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_depth_vis_20260123-14-48-24.jpg,0
20260123-14-46-37,9,20260123-14-48-33,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_rgb_20260123-14-48-33.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_ir_vis_20260123-14-48-33.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_depth_vis_20260123-14-48-33.jpg,0
20260123-14-46-37,10,20260123-14-48-42,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig10_rgb_20260123-14-48-42.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig10_ir_vis_20260123-14-48-42.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig10_depth_vis_20260123-14-48-42.jpg,0
20260123-14-46-37,11,20260123-14-48-51,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig11_rgb_20260123-14-48-51.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig11_ir_vis_20260123-14-48-51.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig11_depth_vis_20260123-14-48-51.jpg,0
20260123-14-46-37,13,20260123-14-49-08,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig13_rgb_20260123-14-49-08.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig13_ir_vis_20260123-14-49-08.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig13_depth_vis_20260123-14-49-08.jpg,0
20260123-14-46-37,14,20260123-14-49-18,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig14_rgb_20260123-14-49-18.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig14_ir_vis_20260123-14-49-18.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig14_depth_vis_20260123-14-49-18.jpg,0
20260123-14-46-37,15,20260123-14-49-26,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig15_rgb_20260123-14-49-26.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig15_ir_vis_20260123-14-49-26.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig15_depth_vis_20260123-14-49-26.jpg,0
