timestamp_folder,pig_id,pig_timestamp,rgb_jpg,rgb_aligned_jpg,ir_jpg,depth_jpg,rgb_cropped_jpg,rgb_aligned_cropped_jpg,ir_cropped_jpg,depth_cropped_jpg,rgb_raw,ir_raw,depth_raw
20260123-14-46-37,0,20260123-14-47-04,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_rgb_20260123-14-47-04.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_ir_vis_20260123-14-47-04.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_depth_vis_20260123-14-47-04.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_rgb_20260123-14-47-04_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_ir_vis_20260123-14-47-04_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_depth_vis_20260123-14-47-04_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_rgb_20260123-14-47-04.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_ir_20260123-14-47-04.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig0_depth_20260123-14-47-04.raw
20260123-14-46-37,1,20260123-14-47-12,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_rgb_20260123-14-47-12.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_ir_vis_20260123-14-47-12.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_depth_vis_20260123-14-47-12.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_rgb_20260123-14-47-12_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_ir_vis_20260123-14-47-12_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_depth_vis_20260123-14-47-12_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_rgb_20260123-14-47-12.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_ir_20260123-14-47-12.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig1_depth_20260123-14-47-12.raw
20260123-14-46-37,2,20260123-14-47-21,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_rgb_20260123-14-47-21.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_ir_vis_20260123-14-47-21.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_depth_vis_20260123-14-47-21.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_rgb_20260123-14-47-21_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_ir_vis_20260123-14-47-21_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_depth_vis_20260123-14-47-21_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_rgb_20260123-14-47-21.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_ir_20260123-14-47-21.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig2_depth_20260123-14-47-21.raw
20260123-14-46-37,3,20260123-14-47-30,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_rgb_20260123-14-47-30.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_ir_vis_20260123-14-47-30.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_depth_vis_20260123-14-47-30.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_rgb_20260123-14-47-30_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_ir_vis_20260123-14-47-30_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_depth_vis_20260123-14-47-30_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_rgb_20260123-14-47-30.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_ir_20260123-14-47-30.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig3_depth_20260123-14-47-30.raw
20260123-14-46-37,4,20260123-14-47-48,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_rgb_20260123-14-47-48.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_ir_vis_20260123-14-47-48.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_depth_vis_20260123-14-47-48.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_rgb_20260123-14-47-48_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_ir_vis_20260123-14-47-48_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_depth_vis_20260123-14-47-48_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_rgb_20260123-14-47-48.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_ir_20260123-14-47-48.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig4_depth_20260123-14-47-48.raw
20260123-14-46-37,5,20260123-14-47-57,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_rgb_20260123-14-47-57.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_ir_vis_20260123-14-47-57.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_depth_vis_20260123-14-47-57.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_rgb_20260123-14-47-57_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_ir_vis_20260123-14-47-57_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_depth_vis_20260123-14-47-57_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_rgb_20260123-14-47-57.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_ir_20260123-14-47-57.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig5_depth_20260123-14-47-57.raw
20260123-14-46-37,6,20260123-14-48-06,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_rgb_20260123-14-48-06.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_ir_vis_20260123-14-48-06.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_depth_vis_20260123-14-48-06.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_rgb_20260123-14-48-06_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_ir_vis_20260123-14-48-06_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_depth_vis_20260123-14-48-06_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_rgb_20260123-14-48-06.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_ir_20260123-14-48-06.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig6_depth_20260123-14-48-06.raw
20260123-14-46-37,7,20260123-14-48-15,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_rgb_20260123-14-48-15.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_ir_vis_20260123-14-48-15.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_depth_vis_20260123-14-48-15.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_rgb_20260123-14-48-15_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_ir_vis_20260123-14-48-15_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_depth_vis_20260123-14-48-15_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_rgb_20260123-14-48-15.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_ir_20260123-14-48-15.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig7_depth_20260123-14-48-15.raw
20260123-14-46-37,8,20260123-14-48-24,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_rgb_20260123-14-48-24.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_ir_vis_20260123-14-48-24.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_depth_vis_20260123-14-48-24.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_rgb_20260123-14-48-24_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_ir_vis_20260123-14-48-24_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_depth_vis_20260123-14-48-24_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_rgb_20260123-14-48-24.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_ir_20260123-14-48-24.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig8_depth_20260123-14-48-24.raw
20260123-14-46-37,9,20260123-14-48-33,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_rgb_20260123-14-48-33.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_ir_vis_20260123-14-48-33.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_depth_vis_20260123-14-48-33.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_rgb_20260123-14-48-33_cropped.jpg,,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_ir_vis_20260123-14-48-33_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_depth_vis_20260123-14-48-33_cropped.jpg,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_rgb_20260123-14-48-33.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_ir_20260123-14-48-33.raw,/Users/akbar/Downloads/paal_pipeline/data/20260123-14-46-37/pig9_depth_20260123-14-48-33.raw
