timestamp_folder,pig_id,pig_present,depth_mean,depth_median,depth_std,depth_iqr,depth_range_p10_p90,valid_pct
20260130-08-16-40,11,1,1258.8,1305.0,475.4,824.0,1121.0,55.7
20260201-16-40-17,3,1,1076.5,830.0,476.8,738.0,1133.0,59.1
20260130-18-39-23,3,1,1306.2,1321.0,484.2,701.0,1050.0,49.9
20260124-07-45-55,17,0,1422.8,1551.0,568.6,521.0,1716.0,46.6
20260203-01-21-00,4,1,1207.7,1321.0,550.1,889.0,1581.0,51.6
20260202-10-04-45,14,1,1111.5,821.0,467.9,763.0,1102.2,58.2
20260123-15-29-16,16,0,1470.3,1533.0,491.9,490.0,1690.0,44.0
20260130-02-03-36,7,1,1292.8,1291.0,485.3,743.0,1278.0,47.8
20260202-19-08-00,12,1,897.4,656.0,447.0,663.0,999.0,60.7
20260203-03-18-14,12,1,1381.2,1375.0,439.0,616.0,1003.0,48.9
20260203-06-40-44,14,0,1527.7,1592.0,461.9,495.0,979.0,46.8
20260130-02-03-36,2,1,1382.5,1347.0,421.3,553.0,932.0,48.8
20260125-14-30-01,5,1,1017.6,684.0,514.5,854.0,1257.0,60.9
20260130-12-04-59,4,1,1288.7,1329.0,493.8,766.8,1236.0,47.1
20260201-16-40-17,11,1,1328.0,1303.0,408.9,578.0,889.0,53.8
20260201-04-24-46,11,1,1393.1,1395.0,425.2,592.0,1002.0,47.4
20260201-19-52-10,0,1,1262.9,1332.0,541.2,874.0,1578.0,46.4
20260124-07-45-55,10,1,1296.3,1286.0,364.1,546.0,861.0,58.7
20260124-14-09-40,2,1,988.8,735.0,483.4,757.0,1175.0,56.7
20260130-02-03-36,0,1,1257.1,1333.0,549.3,902.0,1593.0,45.3
20260201-23-25-18,17,0,1448.1,1529.0,527.6,534.0,1715.0,45.3
20260203-05-58-06,9,1,1333.8,1372.0,494.2,832.0,1231.0,46.5
20260131-00-20-29,4,1,1252.5,1310.0,516.8,874.0,1318.0,46.9
20260202-07-03-34,10,1,1104.7,876.0,441.1,720.0,1058.0,58.1
20260125-10-03-32,17,0,1404.7,1499.0,550.6,506.0,1706.1,45.9
20260124-15-24-17,14,1,1209.8,1045.0,480.0,767.0,1081.0,56.4
20260203-05-58-06,16,1,1316.8,1339.0,497.7,690.0,1294.0,47.3
20260202-19-08-00,19,1,1125.6,1148.0,628.2,1306.0,1630.0,49.5
20260130-15-59-29,17,0,1483.0,1559.0,498.0,504.0,1691.0,41.2
20260124-23-02-40,15,1,1321.2,1309.0,479.2,682.0,1232.0,46.0
20260124-14-09-40,0,1,1140.1,892.0,484.8,754.0,1117.0,55.5
20260123-14-46-37,10,1,1179.6,924.0,480.0,796.0,1126.0,55.3
20260201-23-25-18,0,1,1251.6,1333.0,553.4,960.0,1588.0,46.4
20260202-10-04-45,10,1,945.6,638.0,516.3,862.0,1236.0,62.2
20260201-13-39-05,2,1,1316.3,1311.0,384.0,565.0,835.0,56.2
20260203-04-54-09,9,1,1331.5,1352.0,511.9,852.0,1276.0,48.2
20260201-04-24-46,2,1,1297.6,1333.0,471.0,732.0,1123.0,47.1
20260202-16-17-28,17,1,528.8,399.0,377.6,113.0,576.1,65.1
20260130-05-04-48,6,1,1267.6,1301.0,518.2,928.0,1289.0,47.3
20260130-18-39-23,16,1,1205.9,1067.0,451.3,716.0,1060.0,50.5
20260203-03-18-14,13,1,1290.0,1306.0,517.7,862.0,1325.0,48.2
20260130-08-16-40,9,1,1400.3,1461.0,438.6,582.0,1107.0,48.4
20260202-16-17-28,5,1,1141.9,942.0,435.7,668.0,995.0,59.0
20260123-20-02-26,4,1,1161.2,1304.0,504.6,854.0,1263.0,39.1
20260202-23-13-07,4,1,1229.8,1321.0,545.8,900.0,1602.0,50.6
20260201-04-24-46,14,1,1332.0,1325.0,495.6,753.0,1285.0,44.7
20260201-16-40-17,17,0,1432.4,1515.0,533.3,512.0,1694.0,42.9
20260131-06-44-14,16,1,1211.1,1006.0,424.4,660.0,1007.0,51.9
20260201-01-12-54,7,1,1247.7,1298.0,533.0,967.0,1365.9,47.8
20260125-10-03-32,10,1,990.8,758.0,410.8,591.0,986.0,60.1
