timestamp_folder,pig_id,pig_present,median_depth,mean_depth,depth_std,depth_iqr,valid_pct,threshold
20260123-14-46-37,0,1,1071.0,1201.2,417.0,574.0,53.9,1463
20260123-14-46-37,1,0,1486.0,1440.7,486.5,423.0,40.5,1463
20260123-14-46-37,2,1,717.0,940.4,441.5,645.0,59.6,1463
20260123-14-46-37,3,1,986.0,1164.3,425.6,612.0,57.4,1463
20260123-14-46-37,4,1,1075.0,1184.6,408.0,663.0,57.2,1463
20260123-14-46-37,5,1,1290.0,1289.3,417.0,693.0,55.5,1463
20260123-14-46-37,6,1,1140.0,1247.9,375.8,579.0,56.4,1463
20260123-14-46-37,7,1,976.0,1164.8,404.1,644.0,58.4,1463
20260123-14-46-37,8,1,1274.0,1257.6,402.7,591.0,56.5,1463
20260123-14-46-37,9,1,1206.0,1261.0,443.3,581.0,56.0,1463
20260123-14-46-37,10,1,924.0,1179.6,480.0,796.0,55.3,1463
20260123-14-46-37,11,1,1294.0,1312.6,423.2,631.0,54.5,1463
20260123-14-46-37,12,0,1551.0,1465.4,511.3,494.0,45.8,1463
20260123-14-46-37,13,1,1113.0,1246.7,421.0,678.0,56.8,1463
20260123-14-46-37,14,1,574.0,829.0,490.0,698.0,62.5,1463
20260123-14-46-37,15,1,1060.0,1178.6,397.6,539.0,51.7,1463
20260123-14-46-37,16,0,1520.0,1436.7,529.7,508.0,42.8,1463
20260123-14-46-37,17,1,808.0,978.4,447.8,606.0,58.8,1463
20260123-15-29-16,0,1,934.0,1144.8,465.6,709.0,57.9,1463
20260123-15-29-16,1,0,1475.0,1408.2,518.7,516.0,44.7,1463
20260123-15-29-16,2,1,1316.0,1356.5,393.9,471.0,56.3,1463
20260123-15-29-16,3,1,867.0,1082.9,442.5,707.0,60.3,1463
20260123-15-29-16,4,1,848.0,1121.9,455.8,734.0,58.6,1463
20260123-15-29-16,5,1,875.0,1121.3,470.6,770.0,57.8,1463
20260123-15-29-16,6,1,1025.0,1198.7,394.0,593.0,55.5,1463
20260123-15-29-16,7,1,1156.0,1195.5,394.9,633.0,58.7,1463
20260123-15-29-16,8,1,1019.0,1187.4,392.6,613.0,57.9,1463
20260123-15-29-16,9,1,1089.0,1210.8,412.2,570.0,56.3,1463
20260123-15-29-16,10,1,512.0,744.2,483.0,136.0,64.8,1463
20260123-15-29-16,11,1,952.0,1154.1,430.8,659.0,56.7,1463
20260123-15-29-16,12,0,1544.0,1487.7,491.2,521.0,44.7,1463
20260123-15-29-16,13,1,1285.0,1297.6,409.3,570.0,56.2,1463
20260123-15-29-16,14,1,472.0,807.9,573.7,883.0,62.3,1463
20260123-15-29-16,15,1,1191.0,1217.6,406.2,573.0,51.6,1463
20260123-15-29-16,16,0,1533.0,1470.3,491.9,490.0,44.0,1463
20260123-15-29-16,17,1,958.0,1082.2,452.0,601.0,59.0,1463
20260123-20-02-26,0,1,1327.0,1205.0,569.7,1052.0,46.7,1463
20260123-20-02-26,1,0,1466.0,1390.1,538.4,574.0,44.3,1463
20260123-20-02-26,2,1,1074.0,1205.2,391.8,534.0,52.0,1463
20260123-20-02-26,3,1,358.0,433.0,299.8,48.0,70.4,1463
20260123-20-02-26,4,1,1304.0,1161.2,504.6,854.0,39.1,1463
20260123-20-02-26,5,1,1319.0,1225.6,514.4,942.0,46.4,1463
20260123-20-02-26,6,1,1322.0,1282.4,473.9,732.2,49.2,1463
20260123-20-02-26,7,1,1296.0,1336.1,383.4,513.0,58.8,1463
20260123-20-02-26,8,1,1286.0,1306.3,355.1,514.8,57.2,1463
20260123-20-02-26,9,1,1300.0,1284.6,511.8,838.0,47.9,1463
20260123-20-02-26,10,1,608.0,773.5,396.9,101.0,65.2,1463
20260123-20-02-26,11,1,448.0,754.6,512.2,796.0,65.2,1463
20260123-20-02-26,12,1,1298.0,1233.4,507.4,855.0,49.4,1463
20260123-20-02-26,13,0,1540.0,1500.6,467.6,525.0,44.6,1463
20260123-20-02-26,14,1,1296.0,1261.8,516.8,838.0,46.5,1463
20260123-20-02-26,15,1,1289.0,1283.0,493.2,817.0,46.5,1463
20260123-20-02-26,16,1,1295.0,1290.5,514.0,758.0,45.7,1463
20260123-20-02-26,17,0,1527.0,1417.9,566.6,531.0,44.9,1463
20260123-20-02-26,18,1,1110.0,1088.6,615.3,1237.0,49.7,1463
20260124-04-02-05,0,1,1335.0,1275.2,520.2,788.0,46.3,1463
20260124-04-02-05,1,0,1553.0,1464.8,511.8,486.0,45.4,1463
20260124-04-02-05,2,1,1319.0,1261.3,470.0,716.0,47.9,1463
20260124-04-02-05,3,1,1321.0,1280.9,501.5,682.0,51.7,1463
20260124-04-02-05,4,1,1306.0,1224.3,537.8,943.0,49.5,1463
20260124-04-02-05,5,1,1317.0,1365.3,458.7,605.0,46.6,1463
20260124-04-02-05,6,1,1298.0,1305.7,471.7,698.0,46.8,1463
20260124-04-02-05,7,1,1305.0,1321.2,493.5,724.0,50.0,1463
20260124-04-02-05,8,1,1310.0,1323.5,469.7,743.0,48.3,1463
20260124-04-02-05,9,1,807.0,1024.6,423.7,693.0,62.5,1463
20260124-04-02-05,10,1,522.0,764.0,484.0,203.0,68.3,1463
20260124-04-02-05,11,1,1353.0,1375.7,438.2,618.0,49.2,1463
20260124-04-02-05,12,1,1297.0,1294.7,480.2,744.0,47.9,1463
20260124-04-02-05,13,0,1544.0,1529.0,435.1,546.0,45.0,1463
20260124-04-02-05,14,1,1293.0,1308.1,491.7,657.0,46.7,1463
20260124-04-02-05,15,1,1351.0,1342.0,458.6,659.0,47.0,1463
20260124-04-02-05,16,1,1300.0,1318.9,502.2,706.0,45.4,1463
20260124-04-02-05,17,0,1516.0,1409.6,557.3,510.0,46.1,1463
20260124-04-02-05,18,1,1213.0,1127.8,589.6,982.0,51.1,1463
20260124-07-45-55,0,1,1330.0,1298.4,445.0,582.0,54.7,1463
20260124-07-45-55,1,0,1535.0,1456.6,515.7,482.0,46.2,1463
20260124-07-45-55,2,1,982.0,1173.5,431.7,673.0,57.6,1463
20260124-07-45-55,3,1,755.0,1041.0,506.1,825.0,63.3,1463
20260124-07-45-55,4,1,331.0,464.8,346.2,61.0,69.4,1463
20260124-07-45-55,5,1,1406.0,1463.9,393.1,502.0,56.6,1463
20260124-07-45-55,6,1,1293.0,1295.6,404.9,569.0,57.3,1463
20260124-07-45-55,7,1,1306.0,1391.4,407.1,495.0,56.1,1463
20260124-07-45-55,8,1,1301.0,1287.7,435.1,660.0,57.0,1463
20260124-07-45-55,9,1,787.0,1073.5,470.3,754.0,61.3,1463
20260124-07-45-55,10,1,1286.0,1296.3,364.1,546.0,58.7,1463
20260124-07-45-55,11,1,1246.0,1194.2,411.8,694.0,59.2,1463
20260124-07-45-55,12,1,1217.0,1198.2,424.0,626.0,57.4,1463
20260124-07-45-55,13,0,1550.0,1531.4,421.5,512.0,47.7,1463
20260124-07-45-55,14,1,1297.0,1321.6,442.8,636.0,58.1,1463
20260124-07-45-55,15,1,763.0,1026.2,472.0,742.0,58.6,1463
20260124-07-45-55,16,1,1208.0,1252.9,436.3,611.0,53.5,1463
20260124-07-45-55,17,0,1551.0,1422.8,568.6,521.0,46.6,1463
20260124-07-45-55,18,1,796.0,972.5,523.5,781.0,59.5,1463
20260124-14-09-40,0,1,892.0,1140.1,484.8,754.0,55.5,1463
20260124-14-09-40,1,0,1534.0,1420.9,550.4,475.0,42.6,1463
20260124-14-09-40,2,1,735.0,988.8,483.4,757.0,56.7,1463
20260124-14-09-40,3,1,1147.0,1216.6,449.8,570.0,57.4,1463
20260124-14-09-40,4,1,718.0,916.3,409.6,572.0,60.7,1463
20260124-14-09-40,5,1,693.0,975.1,486.4,733.0,60.4,1463
20260124-14-09-40,6,1,718.0,987.4,474.3,757.0,60.8,1463
20260124-14-09-40,7,1,782.0,1015.9,440.2,676.0,60.8,1463
20260124-14-09-40,8,1,1031.0,1186.6,400.4,658.0,59.2,1463
20260124-14-09-40,9,1,959.0,1159.8,418.5,646.0,58.9,1463
20260124-14-09-40,10,1,796.0,1015.1,398.1,631.0,60.1,1463
20260124-14-09-40,11,1,695.0,985.8,492.4,798.0,59.5,1463
20260124-14-09-40,12,1,1237.0,1221.0,414.7,595.0,56.5,1463
20260124-14-09-40,13,0,1556.0,1521.5,440.8,489.0,46.2,1463
20260124-14-09-40,14,1,869.0,1113.0,441.8,703.0,57.8,1463
20260124-14-09-40,15,1,760.0,1040.5,478.0,767.0,57.2,1463
20260124-14-09-40,16,1,959.0,1136.0,431.8,607.0,53.0,1463
20260124-14-09-40,17,0,1544.0,1405.5,568.7,495.0,45.6,1463
20260124-14-09-40,18,1,916.0,1038.0,480.2,611.0,58.2,1463
20260124-15-24-17,0,1,565.0,879.0,539.0,876.0,65.3,1463
20260124-15-24-17,1,0,1540.0,1433.8,550.0,488.0,42.8,1463
20260124-15-24-17,2,1,1104.0,1220.3,381.6,529.0,54.1,1463
20260124-15-24-17,3,1,1311.0,1280.8,464.7,633.0,58.8,1463
20260124-15-24-17,4,1,889.0,1101.2,442.7,683.0,59.1,1463
20260124-15-24-17,5,1,858.0,1137.3,450.6,733.0,58.0,1463
20260124-15-24-17,6,1,888.0,1130.9,462.2,758.0,57.7,1463
20260124-15-24-17,7,1,1125.0,1229.0,381.8,597.0,58.1,1463
20260124-15-24-17,8,1,1289.0,1303.8,361.1,531.8,57.6,1463
20260124-15-24-17,9,1,791.0,1058.6,467.7,745.0,61.4,1463
20260124-15-24-17,10,1,638.0,828.1,415.8,114.0,64.1,1463
20260124-15-24-17,11,1,618.0,893.7,505.7,734.0,62.6,1463
20260124-15-24-17,12,1,606.0,904.5,530.3,841.0,63.1,1463
20260124-15-24-17,13,0,1523.0,1496.3,449.5,511.0,47.1,1463
20260124-15-24-17,14,1,1045.0,1209.8,480.0,767.0,56.4,1463
20260124-15-24-17,15,1,760.0,1045.6,485.5,811.0,57.8,1463
20260124-15-24-17,16,1,1084.0,1200.2,407.2,546.0,52.3,1463
20260124-15-24-17,17,0,1534.0,1384.2,591.2,510.0,44.5,1463
20260124-15-24-17,18,1,927.0,1034.2,503.8,641.0,58.5,1463
20260124-23-02-40,0,1,1342.0,1281.8,548.5,947.0,46.0,1463
20260124-23-02-40,1,0,1523.0,1434.9,533.6,478.0,43.5,1463
20260124-23-02-40,2,1,993.0,1158.1,399.7,594.0,54.5,1463
20260124-23-02-40,3,1,1317.0,1183.5,554.8,948.0,50.7,1463
20260124-23-02-40,4,1,1314.0,1245.3,516.6,836.0,48.4,1463
20260124-23-02-40,5,1,1332.0,1341.5,470.9,649.0,48.7,1463
20260124-23-02-40,6,1,1370.0,1379.6,424.9,589.0,49.8,1463
20260124-23-02-40,7,1,1354.5,1315.6,488.2,781.0,51.5,1463
20260124-23-02-40,8,1,1305.0,1310.7,451.0,663.0,48.1,1463
20260124-23-02-40,9,1,1299.0,1280.3,520.3,828.0,49.4,1463
20260124-23-02-40,10,1,1288.0,1253.7,512.0,935.0,47.4,1463
20260124-23-02-40,11,1,1297.0,1302.6,498.7,773.0,46.2,1463
20260124-23-02-40,12,1,1296.0,1251.0,523.9,876.0,48.5,1463
20260124-23-02-40,13,0,1552.0,1529.1,437.3,521.0,44.2,1463
20260124-23-02-40,14,1,1296.0,1292.4,489.9,690.0,46.2,1463
20260124-23-02-40,15,1,1309.0,1321.2,479.2,682.0,46.0,1463
20260124-23-02-40,16,1,1310.0,1349.1,480.7,606.0,44.6,1463
20260124-23-02-40,17,0,1472.0,1390.5,564.5,520.0,46.3,1463
20260124-23-02-40,18,1,1284.0,1151.4,602.3,977.0,49.2,1463
20260125-10-03-32,0,1,785.0,1036.9,467.0,715.0,60.2,1463
20260125-10-03-32,1,0,1558.0,1454.0,520.6,461.0,44.9,1463
20260125-10-03-32,2,1,750.0,988.8,470.9,728.0,57.7,1463
20260125-10-03-32,3,1,1108.0,1220.7,459.0,622.0,58.0,1463
20260125-10-03-32,4,1,942.0,1115.4,390.0,583.0,59.3,1463
20260125-10-03-32,5,1,688.0,1025.8,522.2,835.0,59.6,1463
20260125-10-03-32,6,1,581.0,858.2,513.4,773.0,64.4,1463
20260125-10-03-32,7,1,575.0,738.7,413.5,120.0,66.8,1463
20260125-10-03-32,8,1,799.0,1059.3,434.6,714.0,60.0,1463
20260125-10-03-32,9,1,833.0,1053.6,438.5,678.0,61.1,1463
20260125-10-03-32,10,1,758.0,990.8,410.8,591.0,60.1,1463
20260125-10-03-32,11,1,1276.0,1260.8,401.3,616.0,57.8,1463
20260125-10-03-32,12,1,1088.0,1220.2,437.3,667.0,56.9,1463
20260125-10-03-32,13,0,1587.0,1540.6,430.0,471.0,46.4,1463
20260125-10-03-32,14,1,1230.0,1232.2,452.2,684.0,57.3,1463
20260125-10-03-32,15,1,997.0,1198.7,468.0,764.0,54.6,1463
20260125-10-03-32,16,1,966.0,1144.1,422.4,596.0,54.3,1463
